,census_tract,white,black,hispanic,total,median_income,majority_race
274,"Census Tract 202.05, Chattahoochee County, Georgia",1633,444,794,3061,52330,white
275,"Census Tract 202.06, Chattahoochee County, Georgia",289,105,41,482,-,white
276,"Census Tract 101, Chattooga County, Georgia",1847,119,35,2014,41891,white
277,"Census Tract 102, Chattooga County, Georgia",5235,197,816,6365,33016,white
278,"Census Tract 103, Chattooga County, Georgia",2563,36,12,2690,32953,white
279,"Census Tract 104, Chattooga County, Georgia",4868,376,0,5359,27397,white
280,"Census Tract 105, Chattooga County, Georgia",4255,1958,171,6441,28977,white
281,"Census Tract 106, Chattooga County, Georgia",2306,173,102,2615,36422,white
282,"Census Tract 901, Cherokee County, Georgia",7881,128,311,8540,61698,white
283,"Census Tract 902, Cherokee County, Georgia",6897,344,182,7854,59413,white
284,"Census Tract 903, Cherokee County, Georgia",11403,421,431,12671,88237,white
285,"Census Tract 904, Cherokee County, Georgia",6151,1236,2008,9591,37061,white
286,"Census Tract 905.01, Cherokee County, Georgia",5870,100,271,6297,66157,white
287,"Census Tract 905.02, Cherokee County, Georgia",11435,30,1898,13550,85872,white
288,"Census Tract 906.01, Cherokee County, Georgia",4728,291,2113,7219,50000,white
289,"Census Tract 906.02, Cherokee County, Georgia",6133,871,1374,8805,60127,white
290,"Census Tract 907.01, Cherokee County, Georgia",15757,1106,1149,18854,64961,white
291,"Census Tract 907.02, Cherokee County, Georgia",6065,413,867,7503,54139,white
292,"Census Tract 908.02, Cherokee County, Georgia",5870,378,396,6710,90147,white
293,"Census Tract 908.03, Cherokee County, Georgia",8645,337,450,9911,87297,white
294,"Census Tract 908.04, Cherokee County, Georgia",7647,433,752,9346,86925,white
295,"Census Tract 909.01, Cherokee County, Georgia",6616,601,608,7971,80962,white
296,"Census Tract 909.02, Cherokee County, Georgia",11158,376,1271,13780,78133,white
297,"Census Tract 909.04, Cherokee County, Georgia",5625,335,1290,8150,59083,white
298,"Census Tract 909.05, Cherokee County, Georgia",2857,309,271,3563,52750,white
299,"Census Tract 910.01, Cherokee County, Georgia",2611,895,517,4161,47674,white
300,"Census Tract 910.03, Cherokee County, Georgia",4658,657,1677,7197,48750,white
301,"Census Tract 910.05, Cherokee County, Georgia",6147,619,1349,8189,57431,white
302,"Census Tract 910.06, Cherokee County, Georgia",4156,229,254,4729,85417,white
303,"Census Tract 910.07, Cherokee County, Georgia",5604,159,221,6213,93418,white
304,"Census Tract 910.08, Cherokee County, Georgia",6951,568,281,8335,103750,white
305,"Census Tract 911.01, Cherokee County, Georgia",4556,488,132,5521,66028,white
306,"Census Tract 911.02, Cherokee County, Georgia",6424,946,1304,8891,62344,white
307,"Census Tract 911.03, Cherokee County, Georgia",6855,678,523,8400,71817,white
308,"Census Tract 1, Clarke County, Georgia",1519,113,72,1776,5972,white
309,"Census Tract 4.01, Clarke County, Georgia",448,134,29,1139,15271,NA
310,"Census Tract 4.02, Clarke County, Georgia",5902,791,359,8142,4211,white
311,"Census Tract 6, Clarke County, Georgia",2053,452,271,2878,15747,white
312,"Census Tract 9, Clarke County, Georgia",469,2716,90,3369,16211,black
313,"Census Tract 12, Clarke County, Georgia",2209,323,78,2692,60565,white
314,"Census Tract 17, Clarke County, Georgia",1439,534,72,2136,52951,white
315,"Census Tract 18, Clarke County, Georgia",1895,93,120,2228,38421,white
316,"Census Tract 19, Clarke County, Georgia",2865,870,266,4048,30331,white
317,"Census Tract 20, Clarke County, Georgia",1793,239,33,2136,41842,white
318,"Census Tract 21, Clarke County, Georgia",3594,204,80,4401,28068,white
319,"Census Tract 22, Clarke County, Georgia",1940,58,148,2226,30038,white
320,"Census Tract 301, Clarke County, Georgia",2065,2322,87,4711,19066,NA
321,"Census Tract 302, Clarke County, Georgia",894,2901,5,3981,22675,black
322,"Census Tract 1303, Clarke County, Georgia",1149,2493,2392,6256,40137,NA
323,"Census Tract 1304, Clarke County, Georgia",3084,2084,576,5909,54245,white
324,"Census Tract 1305, Clarke County, Georgia",1396,1019,58,2516,54617,white
325,"Census Tract 1306, Clarke County, Georgia",3724,1393,1094,6353,37157,white
326,"Census Tract 1307, Clarke County, Georgia",3533,1064,469,5462,41444,white
327,"Census Tract 1403, Clarke County, Georgia",1397,2517,1159,5166,26888,NA
328,"Census Tract 1404, Clarke County, Georgia",1008,789,1988,3893,21867,hispanic
329,"Census Tract 1405, Clarke County, Georgia",414,1265,462,2184,24154,black
330,"Census Tract 1406, Clarke County, Georgia",2508,1264,647,4732,44188,white
331,"Census Tract 1503, Clarke County, Georgia",1761,728,384,3195,44712,white
332,"Census Tract 1504, Clarke County, Georgia",3747,323,222,4857,12276,white
333,"Census Tract 1505, Clarke County, Georgia",3439,461,384,4581,19835,white
334,"Census Tract 1506, Clarke County, Georgia",1459,794,423,3164,27917,NA
335,"Census Tract 1507, Clarke County, Georgia",3636,1301,292,5710,50562,white
336,"Census Tract 1508, Clarke County, Georgia",3666,1507,341,6056,57225,white
337,"Census Tract 1509, Clarke County, Georgia",2755,758,81,3784,54294,white
338,"Census Tract 9603, Clay County, Georgia",927,1995,138,3110,21300,black
339,"Census Tract 402.02, Clayton County, Georgia",121,2011,167,2587,29531,black
340,"Census Tract 402.03, Clayton County, Georgia",83,2932,200,3279,35000,black
341,"Census Tract 402.04, Clayton County, Georgia",244,3125,240,3697,30978,black
342,"Census Tract 403.02, Clayton County, Georgia",730,2609,1253,5081,33621,black
343,"Census Tract 403.03, Clayton County, Georgia",1227,4118,1512,7140,29477,black
344,"Census Tract 403.06, Clayton County, Georgia",149,1465,1922,4084,24750,NA
345,"Census Tract 403.07, Clayton County, Georgia",930,1405,818,4297,35594,NA
346,"Census Tract 403.08, Clayton County, Georgia",832,1800,1746,4761,27647,NA
347,"Census Tract 404.07, Clayton County, Georgia",617,1930,794,3983,44922,NA
348,"Census Tract 404.08, Clayton County, Georgia",1445,4071,603,7895,39041,black
349,"Census Tract 404.09, Clayton County, Georgia",913,2749,841,5728,42455,NA
350,"Census Tract 404.10, Clayton County, Georgia",1635,3207,1674,6635,34200,NA
351,"Census Tract 404.11, Clayton County, Georgia",1763,9772,607,12637,59088,black
352,"Census Tract 404.12, Clayton County, Georgia",1159,4732,733,8019,40000,black
353,"Census Tract 404.13, Clayton County, Georgia",1139,4599,1051,7373,45027,black
354,"Census Tract 404.14, Clayton County, Georgia",484,414,711,1701,25380,NA
