Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
SOUTH HAIRSTON,2764,74,1277,1367,0,0,DEKALB
STEPHENSON HIGH,2677,81,1347,1439,0,0,DEKALB
STEPHENSON MIDDLE,2797,102,1433,1547,0,0,DEKALB
STONE MILL ELEM,2442,51,631,691,0,0,DEKALB
STONE MOUNTAIN CHAMP,2165,125,836,976,0,0,DEKALB
STONE MOUNTAIN ELEM,1857,345,714,1081,0,0,DEKALB
STONE MOUNTAIN LIBRA,1119,109,377,495,0,0,DEKALB
STONE MOUNTAIN MIDDL,2254,78,544,630,0,0,DEKALB
STONEVIEW ELEM,1317,25,494,523,0,0,DEKALB
TERRY MILL ELEM,2038,38,954,1003,0,0,DEKALB
TILLY MILL ROAD,1310,551,281,861,0,0,DEKALB
TONEY ELEM,1343,19,687,710,0,0,DEKALB
TUCKER,2462,773,709,1544,0,0,DEKALB
TUCKER LIBRARY,2078,499,639,1151,0,0,DEKALB
VALLEY BROOK,717,115,276,411,0,0,DEKALB
WADSWORTH ELEM,2397,39,1108,1159,0,0,DEKALB
WARREN TECH,1728,370,462,861,0,0,DEKALB
WESLEY CHAPEL LIBRAR,2485,46,1491,1542,0,0,DEKALB
WHITE OAK,2143,27,829,867,0,0,DEKALB
WINNONA PARK ELEM,1735,152,1013,1180,0,0,DEKALB
WINTERS CHAPEL,1220,449,303,782,0,0,DEKALB
WOODRIDGE ELEM,2684,84,1284,1388,0,0,DEKALB
WOODROW ROAD,4622,113,1957,2083,0,0,DEKALB
WOODWARD ELEM,1858,263,491,775,0,0,DEKALB
WYNBROOKE ELEM,2688,110,1503,1629,0,0,DEKALB
YOUNG ROAD,1493,36,870,913,0,0,DEKALB
TOTALS:,404094,44676,162274,210639,0,0,DEKALB
01A,2625,119,1235,1381,0,0,FULTON
01B,3124,217,1494,1753,0,0,FULTON
01C1,812,10,276,288,0,0,FULTON
01D,825,27,378,407,0,0,FULTON
01E,2288,206,1098,1332,0,0,FULTON
01F,960,5,255,264,0,0,FULTON
01G,1578,35,605,652,0,0,FULTON
01H,626,4,216,220,0,0,FULTON
01J,1925,21,744,773,0,0,FULTON
01P,977,7,421,431,0,0,FULTON
01R,1129,4,348,354,0,0,FULTON
01S,1360,10,545,558,0,0,FULTON
01T,1145,43,386,442,0,0,FULTON
02A,3102,310,974,1309,0,0,FULTON
02B,2871,98,648,756,0,0,FULTON
02C,1573,55,577,645,0,0,FULTON
02D,2986,116,1085,1219,0,0,FULTON
02E,1657,102,847,973,0,0,FULTON
02F1,2350,163,891,1077,0,0,FULTON
02F2,552,17,177,201,0,0,FULTON
02G,2584,139,980,1140,0,0,FULTON
02J,1885,132,712,864,0,0,FULTON
02K,1206,83,441,541,0,0,FULTON
02L1,4462,308,1338,1689,0,0,FULTON
02L2,861,90,251,347,0,0,FULTON
02S,620,11,229,246,0,0,FULTON
02W,378,20,100,122,0,0,FULTON
03A,1609,11,522,534,0,0,FULTON
03B,446,2,115,117,0,0,FULTON
03C,1300,7,500,507,0,0,FULTON
03D,803,2,272,280,0,0,FULTON
03E,1615,7,534,546,0,0,FULTON
03F,1463,99,388,504,0,0,FULTON
03G,513,5,162,169,0,0,FULTON
03H,798,4,245,251,0,0,FULTON
03I,1080,75,202,291,0,0,FULTON
03L,492,3,141,146,0,0,FULTON
03M,682,59,191,269,0,0,FULTON
03N,1758,9,481,497,0,0,FULTON
03P1A,2357,84,543,645,0,0,FULTON
03S,583,4,230,237,0,0,FULTON
03T,1308,21,476,506,0,0,FULTON
04A,1024,8,352,365,0,0,FULTON
04B,1757,15,332,353,0,0,FULTON
04C,101,1,38,40,0,0,FULTON
04D,1190,9,521,534,0,0,FULTON
04F,1736,42,523,573,0,0,FULTON
04G,592,4,195,200,0,0,FULTON
04I,2039,33,310,349,0,0,FULTON
04J,908,1,129,130,0,0,FULTON
04K,1889,27,762,793,0,0,FULTON
04L,1233,18,455,478,0,0,FULTON
04M,580,6,192,200,0,0,FULTON
04S,1792,13,840,860,0,0,FULTON
04T,922,4,421,426,0,0,FULTON
04V,2123,13,671,689,0,0,FULTON
04W,1434,9,260,276,0,0,FULTON
04X1,1508,9,670,683,0,0,FULTON
04X2,595,7,200,209,0,0,FULTON
05A1,1966,87,812,922,0,0,FULTON
05A2,2051,102,800,922,0,0,FULTON
05B,1372,19,470,502,0,0,FULTON
05D,243,2,36,38,0,0,FULTON
05F,12,1,2,4,0,0,FULTON
05J,468,30,211,244,0,0,FULTON
05K,1806,32,538,578,0,0,FULTON
06B,1566,158,580,753,0,0,FULTON
06D,2611,299,816,1141,0,0,FULTON
06E,1869,183,607,799,0,0,FULTON
06F,2362,273,854,1144,0,0,FULTON
06G,400,36,165,204,0,0,FULTON
06H,1530,297,650,963,0,0,FULTON
06I,2395,162,532,702,0,0,FULTON
06J,2310,295,940,1257,0,0,FULTON
06L1,796,132,377,512,0,0,FULTON
06L2,612,136,245,385,0,0,FULTON
06N,1754,336,448,795,0,0,FULTON
06Q,422,14,98,113,0,0,FULTON
06R,1473,197,606,811,0,0,FULTON
06S,2935,464,1300,1786,0,0,FULTON
07A,4524,1217,952,2193,0,0,FULTON
07B,2526,1063,444,1522,0,0,FULTON
07C,3220,885,676,1575,0,0,FULTON
07D,3231,642,580,1245,0,0,FULTON
07E,1662,296,501,804,0,0,FULTON
07F,2411,614,556,1186,0,0,FULTON
07H,1738,525,503,1040,0,0,FULTON
07J,2398,516,600,1129,0,0,FULTON
07M,1856,292,372,677,0,0,FULTON
