v_id,race,avg_income
12105A1,black,39463
12105A2,,74509
12105B,black,37228
12105C,black,34377
12105D,,52260
12105F,white,29512
12105J,black,42941
12105K,black,30532
12106B,white,75487
12106D,white,71373
12106E,white,72178
12106F,white,58946
12106G,hispanic,27532
12106H,white,59582
12106I,,69899
12106J,white,45084
12106L1,white,87765
12106L2,white,87765
12106N,white,109928
12106Q,white,74875
12106R,hispanic,37716
12106S,white,59200
12107A,white,157276
12107B,white,199294
12107C,white,176043
12107D,white,131764
12107E,white,126114
12107F,white,120758
12107H,white,129059
12107J,white,125829
12107M,,77244
12107N,,52523
12108A,white,263565
12108B,white,245713
12108C,white,256389
12108D,white,255724
12108E,white,269125
12108F1,white,226070
12108G,white,118764
12108H,white,226997
12108J,white,138862
12108K,white,138861
12108L,white,87289
12108M,white,135365
12108N1,white,221299
12108N2,white,221299
12108P,white,67895
12109A,white,100512
12109B,black,35970
12109C,black,40448
12109D,black,26088
12109E,black,42531
12109F,white,92955
12109G1,white,67895
12109G2,white,67895
12109H,white,67895
12109I,black,40776
12109K,black,31091
12109L,black,40094
12109M,white,118699
12110A,black,37740
12110B,black,72578
12110C,black,29262
12110D,black,26177
12110E,black,33518
12110F,black,40448
12110G,black,38163
12110H,black,31296
12110I,black,71919
12110J,black,27504
12110K,black,40345
12110L,black,72579
12110M,black,36298
12110P,black,32047
12110R,black,27503
12111B,black,65759
12111C,black,71432
12111E1,black,51445
12111E2,black,51444
12111E3,black,50016
12111G,black,25664
12111H,black,44749
12111J,black,41628
12111K,black,42006
12111M,black,52642
12111N,black,50322
12111P,black,45767
12111R,black,21537
12112A,black,48162
12112B,black,48162
12112C,black,41226
12112D,black,23954
12112E1,black,22401
12112F,black,38291
12112G,black,23799
12112H,black,32339
12112I,black,28534
12112J,black,32929
12112K,black,29682
12112L,black,24448
12112M,black,32997
12112N,black,28004
12112S,black,37725
12112T,black,32949
121AP01A,white,116185
121AP01B,,84909
121AP01C,white,111815
121AP01D,white,81158
121AP021,white,110781
121AP022,,61655
121AP02B,,61654
121AP03,,57453
121AP04A,white,138513
121AP04B,white,177524
121AP05,white,158709
121AP06,white,111870
121AP07A,white,90764
121AP07B,white,138287
121AP09A,white,105645
121AP09B,white,115719
121AP10,white,169334
121AP12A,,97284
121AP12B,white,163711
121AP12C,,85109
121AP13,,140031
121AP14,white,118228
121CH01,white,41282
121CH02,white,41282
121CH03,white,41282
121CH04A,white,41281
121CH05,white,41282
121CP011,,40399
121CP012,black,39986
121CP01B,,79795
121CP02,,79795
121CP04,black,36599
121CP051,black,51275
121CP05B,black,35016
121CP06,white,57249
121CP07A,black,35015
121CP07D,black,35016
121CP081,black,41166
121CP083,black,41166
121CP08A,white,57248
121EP01,black,42070
121EP02,,43866
121EP03,black,40753
121EP04,black,44235
121FA01A,black,60801
121FA01B,black,49668
121HP01,,52697
121JC01,,145437
121JC02,,119965
121JC03A,,98246
121JC03B,,98245
121JC04A,white,163061
121JC04B,white,113558
121JC05,,98245
121JC06,white,126336
121JC07,white,126839
121JC08,white,126336
121JC09,white,120359
121JC10,white,111743
121JC11,white,122981
121JC12,white,170409
121JC13A,white,215884
121JC13B,white,215885
121JC14,white,215885
121JC15,white,127036
121JC16,white,117149
121JC17,white,117149
121JC18A,white,98820
121JC18B,white,117148
121JC19,white,116523
121ML011,white,177524
121ML012,white,177525
121ML01B,white,178143
121ML021,white,187591
121ML022,white,190427
121ML023,white,177681
121ML024,white,190427
121ML03,white,190427
121ML04A,white,163189
121ML04B,white,177112
121ML04C,white,184433
121ML05A,white,169334
121ML05B,white,190427
121ML05C,white,131507
121ML06A,white,89112
121ML06B,white,87754
121ML071,white,190426
121ML072,white,190427
121ML07A,white,190426
121MP01,white,175478
121PA01,black,45172
121RW01,white,108603
121RW02,white,142982
121RW03,,71633
121RW04,white,100438
121RW05,,58003
121RW06,white,93569
121RW07A,hispanic,45163
121RW07B,hispanic,45162
121RW08,white,104907
121RW09,white,176443
121RW10,white,121374
121RW11A,white,92566
121RW12,white,113046
121RW13,white,103843
121RW15,white,166033
121RW16,white,110849
121RW17,white,100438
121RW18,white,152029
121RW19,white,187821
121RW20,white,141846
121RW21A,white,163433
121RW21B,white,215885
121RW22A,white,96248
121SC01B,black,87944
121SC02,black,71467
121SC04,white,51949
121SC05A,white,56421
121SC05B,black,101954
121SC05D,black,87960
121SC07A,black,64043
121SC08B,black,43012
121SC08C,black,48657
121SC08D,black,39694
121SC08E,black,49347
121SC08F,black,48657
121SC09A,black,44086
121SC09B,black,46959
121SC10,black,41166
121SC11A,black,56760
121SC11B,black,56760
121SC13A,white,56422
121SC13B,white,56421
121SC14,black,42668
121SC16,black,81563
121SC17A,black,48656
121SC17B,black,48657
121SC17C,black,40697
121SC18A,black,53108
121SC18B,black,101954
121SC19A,black,39780
121SC19B,black,47644
121SC211,black,54300
121SC212,black,49668
121SC23A,black,56054
121SC23B,black,54602
