,income,precinct_n,race
640,57954.9855647,CROSSROADS,black
641,48858.0000259,FAIRINGTON ELEM,black
642,39873.7596373,PANOLA ROAD,black
643,65558.0327844,PANOLA WAY ELEM,black
644,65615.1257733,YOUNG ROAD,black
645,50272.9792647,REDAN MIDDLE,black
646,55545.1416782,MARBUT ELEM,black
647,55080.0000084,REDAN ROAD,black
648,51184.0000336,WOODRIDGE ELEM,black
649,63090.4975492,ROWLAND ROAD,black
650,47216.0000308,WHITE OAK,black
651,56095.4040655,FREEDOM MIDDLE,black
652,42070.0496019,PINE LAKE (PIN),black
653,50233.8643098,HAMBRICK ELEM,black
654,41197.1690337,ROCKBRIDGE ELEM,black
655,36927.3545,STONE MILL ELEM,black
656,61031.4152713,MILLER-ELDRIDGE L MI,black
657,73877.0920981,GARNERS B,black
658,97661.8156498,BERKSHIRE D,white
659,48747.0001917,BERKSHIRE A,
660,60881.664558,BERKSHIRE P,
661,98089.3071449,BERKSHIRE M,white
662,45760.9254793,PINCKNEYVILLE Q,
663,51231.4140089,BERKSHIRE L,
664,82412.7626273,GARNERS F,white
665,77794.2471374,BERKSHIRE N,white
666,91737.9999169,BERKSHIRE E,white
667,101415.695334,BERKSHIRE J,white
668,80846.954552,GARNERS C,white
669,106134.001048,GARNERS A,white
670,198544.827023,FERNBANK ELEM,white
671,119116.973185,EMORY SOUTH,white
672,36435.5899204,JOHNSON ESTATES (ATL,white
673,88264.1679836,BRIAR VISTA ELEM,white
674,134869.307608,DRUID HILLS HIGH,white
675,61829.8290046,EMORY ROAD,white
676,75148.8796866,LAVISTA ROAD,white
677,44447.773362,STN MTN MIDDLE,black
678,96314.9255889,TUCKER,white
679,86195.7687577,HUGH HOWELL,
680,117152.875737,SMOKE RISE,white
681,60552.4691547,BERKSHIRE B,
682,73174.953133,BERKSHIRE Q,
683,60509.8194421,SOUTH HAIRSTON,black
684,63450.9241653,PANOLA,black
685,72872.6533676,SHADOW ROCK ELEM,black
686,43995.228424,STONE MTN CHAMPION (,black
687,64377.0594466,STONE MTN LIBRARY (S,black
688,226996.999074,08H,white
689,68527.5590905,DULUTH D,
690,68022.5747984,DULUTH E,
691,60812.2880176,DULUTH C,
692,122981.463271,JC11,white
693,120359.978589,JC09,white
694,126839.488816,JC07,white
695,85109.9573477,AP12D,
696,75154.0001454,SHAMROCK,white
697,110455.999955,NORTHLAKE,white
698,155996.999767,BRIARLAKE ELEM,white
699,97723.8880976,REHOBOTH,white
700,56205.1077989,WARREN TECH,
701,58383.6657037,BERKSHIRE H,
