,PRECINCT_N,ajc_precinct
741,WINNONA PARK ELEM (D,WINNONA PARK ELEM
742,GLENNWOOD (DEC),GLENNWOOD - 04
743,CLAIREMONT WEST (DEC,CLAIREMONT WEST
744,12M,12M
745,12J,12J
746,12H,12H
747,FOREST PARK 2,FOREST PARK 2
748,12T,12T
749,MORROW 2,MORROW 2
750,MORROW 7,MORROW 7
751,GLENHAVEN,GLENHAVEN
752,AVONDALE HIGH,AVONDALE HIGH
753,AVONDALE (AVO),AVONDALE
754,MIDWAY ELEM,MIDWAY ELEM
755,COVINGTON,COVINGTON
756,NORTH DECATUR,NORTH DECATUR
757,MCLENDON,MCLENDON
758,LAKE CITY,LAKE CITY
759,MORROW 4,MORROW 4
760,MORROW 9,MORROW 9
761,MORROW 6,MORROW 6
762,MORROW 3,MORROW 3
763,PEACHCREST ELEM,PEACHCREST ELEM
764,MATHIS-BOB MATHIS EL,MATHIS-BOB MATHIS EL
765,RAINBOW ELEM,RAINBOW ELEM
766,KELLEY CHAPEL ROAD,KELLEY CHAPEL ROAD
767,COLUMBIA DRIVE,COLUMBIA DRIVE
768,AUSTIN DRIVE,AUSTIN DRIVE
769,CANBY LANE ELEM,CANBY LANE ELEM
770,SNAPFINGER ROAD N,SNAPFINGER ROAD NORT
771,GLENWOOD ROAD,GLENWOOD ROAD
772,MORROW 1,MORROW 1
773,BOULDERCREST ROAD,BOULDERCREST RD
774,ELLENWOOD,ELLENWOOD
775,CEDAR GROVE SOUTH,CEDAR GROVE SOUTH
776,CEDAR GROVE ELEM,CEDAR GROVE ELEM
777,12F,12F
778,04V,04V
779,04I,04I
780,01F,01F
781,01G,01G
782,01D,01D
783,01H,01H
784,05B,05B
785,01S,01S
786,01C2,01C
787,01T,01T
788,01P,01P
789,01R,01R
790,01E,01E
791,01A,01A
