,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
172,PINCKNEYVILLE X,-84.205905,33.979859,4848474,1.83,1778,135121,135121,121,67,GWINNETT,135,white,112622,PINCKNEYVILLE X
173,PINCKNEYVILLE H,-84.194517,33.970846,4848523,4.79,1697,13540,13540,40,67,GWINNETT,135,,88833,PINCKNEYVILLE H
174,JC12,-84.206987,34.007542,4848626,3.34,1439,121JC12,121JC12,JC12,60,FULTON,121,white,170409,JC12
175,PINCKNEYVILLE T,-84.175581,33.959707,4848690,1.89,1756,13599,13599,99,67,GWINNETT,135,,63661,PINCKNEYVILLE T
176,SS15A,-84.344869,33.993121,4763972,0.66,1560,121SS15A,121SS15A,SS15A,60,FULTON,121,black,44353,SS15A
177,ROSWELL 01,-84.408797,34.016183,4764015,2.48,621,067RW01,067RW01,RW01,33,COBB,67,white,135308,ROSWELL 01
178,RW02,-84.384016,34.017737,4764088,2.53,1471,121RW02,121RW02,RW02,60,FULTON,121,white,142982,RW02
179,RW10,-84.379036,34.034394,4764155,2.2,1480,121RW10,121RW10,RW10,60,FULTON,121,white,121373,RW10
180,RW15,-84.399448,34.069489,4764210,2.27,1485,121RW15,121RW15,RW15,60,FULTON,121,white,166033,RW15
181,RW01,-84.39219,34.048882,4764273,4.01,1470,121RW01,121RW01,RW01,60,FULTON,121,white,108603,RW01
182,RW03,-84.345525,34.019241,4764348,3.03,1472,121RW03,121RW03,RW03,60,FULTON,121,,71633,RW03
183,SUWANEE G,-84.100103,34.039223,5034183,1.9,1812,135155,135155,155,67,GWINNETT,135,white,120739,SUWANEE G
184,SUWANEE H,-84.096244,34.072325,5034227,3.29,1797,135140,135140,140,67,GWINNETT,135,white,145658,SUWANEE H
185,MARTINS A,-84.069189,33.953299,5034287,1.72,1674,13517,13517,17,67,GWINNETT,135,,59083,MARTINS A
186,GOODWINS C,-84.057523,33.974932,5034337,3.72,1734,13577,13577,77,67,GWINNETT,135,,67035,GOODWINS C
187,GOODWINS E,-84.057196,34.004603,5034415,2.8,1754,13597,13597,97,67,GWINNETT,135,,83664,GOODWINS E
188,LOST MOUNTAIN 02,-84.709,33.979067,3958663,2.52,567,067LM02,067LM02,LM02,33,COBB,67,white,132393,LOST MOUNTAIN 02
189,FORD 01,-84.729969,33.997522,3958718,2.33,547,067FR01,067FR01,FR01,33,COBB,67,white,140268,FORD 01
190,DURHAM 01,-84.71637,34.009995,3958775,3.18,532,067DU01,067DU01,DU01,33,COBB,67,white,122343,DURHAM 01
191,KEMP 03,-84.690827,33.960121,3958825,5.54,563,067KP03,067KP03,KP03,33,COBB,67,white,123383,KEMP 03
192,FREY 01,-84.691036,34.011281,3958891,2.45,548,067FY01,067FY01,FY01,33,COBB,67,white,121066,FREY 01
193,LOST MOUNTAIN 04,-84.680409,33.992351,3958944,2.02,569,067LM04,067LM04,LM04,33,COBB,67,white,130492,LOST MOUNTAIN 04
194,MARS HILL 01,-84.717024,34.050692,3958991,9.31,593,067MS01,067MS01,MS01,33,COBB,67,white,105760,MARS HILL 01
195,LEWIS 01,-84.67707,34.022724,3959109,1.48,570,067LW01,067LW01,LW01,33,COBB,67,white,99747,LEWIS 01
196,SUWANEE E,-84.078209,34.069911,5047868,2.27,1788,135131,135131,131,67,GWINNETT,135,white,145658,SUWANEE E
197,SUWANEE A,-84.067873,34.062538,5047916,2.21,1661,1354,1354,4,67,GWINNETT,135,white,100037,SUWANEE A
198,GOODWINS F,-84.030806,34.02297,5047982,2.17,1755,13598,13598,98,67,GWINNETT,135,white,86616,GOODWINS F
199,SUWANEE F,-84.03603,34.051166,5048051,2.76,1799,135142,135142,142,67,GWINNETT,135,,108954,SUWANEE F
200,SUWANEE B,-84.045245,34.065038,5048109,2.84,1757,135100,135100,100,67,GWINNETT,135,,108992,SUWANEE B
