ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
4302716,1.87,626,067SM01,067SM01,SM01,SEWELL MILL 01,33,COBB,067,white,125454.990659,-84.473507,33.984565
4302796,1.94,577,067MD01,067MD01,MD01,MURDOCK 01,33,COBB,067,white,126857.326326,-84.459981,33.999092
4302856,1.99,597,067MT04,067MT04,MT04,MT BETHEL 04,33,COBB,067,white,209538.999635,-84.431381,33.950979
4302911,1.67,534,067EA01,067EA01,EA01,EASTSIDE 01,33,COBB,067,white,122972.150886,-84.44201,33.967311
4302972,1.19,531,067DO01,067DO01,DO01,DODGEN 01,33,COBB,067,white,135135.423006,-84.441494,33.987296
4303023,1.43,527,067CR01,067CR01,CR01,CHESTNUT RIDGE 01,33,COBB,067,white,126045.486549,-84.438354,34.00919
4303089,1.67,622,067RW02,067RW02,RW02,ROSWELL 02,33,COBB,067,white,153556.991168,-84.427386,33.997122
4189043,1.96,648,067WG02,067WG02,WG02,WADE GREEN 02,33,COBB,067,white,84696.192693,-84.602921,34.069793
4189087,1.11,513,067BG02,067BG02,BG02,BIG SHANTY 02,33,COBB,067,white,101215.728602,-84.575688,34.060179
4189152,1.03,618,067PT01,067PT01,PT01,PITNER 01,33,COBB,067,white,111668.999885,-84.58174,34.067419
4189207,3.75,523,067CK01,067CK01,CK01,CHALKER 01,33,COBB,067,white,57427.908314,-84.564126,34.03207
4189282,1.55,614,067PR01,067PR01,PR01,PALMER 01,33,COBB,067,white,87389.938606,-84.554521,34.050555
4189336,3.58,511,067BF03,067BF03,BF03,BELLS FERRY 03,33,COBB,067,white,77375.592799,-84.542925,34.065707
4088718,0.37,1237,12103E,12103E,03E,03E,60,FULTON,121,black,19653.498395,-84.418239,33.75904
