,county,dem_votes,precinct,rep_votes,total,prop
268,CHATHAM,674,2-03 W. W. Law Center,108,782,0.13810741688
2338,RICHMOND,1089,509,175,1264,0.138449367089
481,CLAYTON,1213,RIVERDALE 6,195,1408,0.138494318182
2418,SPALDING,759,COMMUNITY,123,882,0.139455782313
1274,FULTON,1393,06I,226,1619,0.139592340951
305,CHATHAM,1004,5-06 Wildwood United Meth,163,1167,0.139674378749
1215,FULTON,1019,02B,166,1185,0.140084388186
283,CHATHAM,1225,3-10 Bible Baptist Church,200,1425,0.140350877193
812,DEKALB,1995,CLAIREMONT WEST,329,2324,0.14156626506
1388,FULTON,428,CP02,71,499,0.142284569138
1031,DOUGLAS,2043,GOLDEN METHODIST CH,342,2385,0.143396226415
2163,MUSCOGEE,1854,NATIONAL INFANTRY,311,2165,0.143648960739
465,CLAYTON,2415,MORROW 5,407,2822,0.144223954642
1692,GWINNETT,753,PINCKNEYVILLE Q,127,880,0.144318181818
873,DEKALB,1748,LIN-MARY LIN ELEM,297,2045,0.145232273839
1273,FULTON,282,06G,48,330,0.145454545455
787,DEKALB,949,AVONDALE HIGH - 04,164,1113,0.14734950584
1313,FULTON,449,09H,78,527,0.148007590133
2203,NEWTON,2109,Crowell,367,2476,0.148222940226
1875,HENRY,1988,STOCKBRIDGE WEST,348,2336,0.14897260274
863,DEKALB,1398,JOLLY ELEM,246,1644,0.149635036496
1868,HENRY,2813,RED OAK,496,3309,0.149894227863
456,CLAYTON,1771,LOVEJOY 1,313,2084,0.15019193858
811,DEKALB,1963,CLAIREMONT EAST,350,2313,0.151318633809
827,DEKALB,1554,DRUID HILLS HIGH,279,1833,0.152209492635
1669,GWINNETT,958,PINCKNEYVILLE J,172,1130,0.152212389381
2455,TAYLOR,549,#1 BUTLER FIRE DEPT.,99,648,0.152777777778
2083,MCDUFFIE,885,Thomson Depot,160,1045,0.153110047847
1817,HANCOCK,176,Mayfield Comm Center,32,208,0.153846153846
900,DEKALB,860,NORTH DECATUR,157,1017,0.154375614553
2334,RICHMOND,1852,503,340,2192,0.155109489051
2398,SEMINOLE,500,Precinct 3,92,592,0.155405405405
1236,FULTON,613,03I,113,726,0.15564738292
469,CLAYTON,607,MORROW 9,112,719,0.155771905424
1233,FULTON,877,03F,162,1039,0.155919153032
463,CLAYTON,1823,MORROW 3,337,2160,0.156018518519
834,DEKALB,663,EMORY ROAD,124,787,0.157560355781
1224,FULTON,2773,02L1,520,3293,0.157910719708
1527,FULTON,943,SS15A,177,1120,0.158035714286
2202,NEWTON,1155,Fairview,217,1372,0.158163265306
432,CLAYTON,953,FOREST PARK 2,183,1136,0.161091549296
449,CLAYTON,946,JONESBORO 13,182,1128,0.16134751773
2368,ROCKDALE,2020,Fieldstone,389,2409,0.161477791615
879,DEKALB,1124,MCLENDON,217,1341,0.161819537658
1272,FULTON,1385,06F,272,1657,0.164152082076
